Response ID,Select which type of data to enter:,Outreach team member:,Date of contact:,Stakeholder's name and title:,Method of interaction:,Stakeholder type:,"Other, please specify::Stakeholder type:",Outreach team member:,Name of event or distribution:,Date of event or distribution:,Event or distribution type:,Other (please specify)::Event or distribution type:,"Army/DoD partners (includes CMA, AASC, Depot commanders):Number of participants:",Citizens' Advisory Commission members:Number of participants:,Congress and congressional staffers:Number of participants:,"Emergency Management (e.g. CSEPP, FEMA, etc.):Number of participants:",International community members:Number of participants:,Local community members:Number of participants:,Local elected officials:Number of participants:,Media:Number of participants:,Oversight agency members:Number of participants:,PEO ACWA Workforce members:Number of participants:,Regulatory agency members:Number of participants:,Other:Number of participants:,Date range of posting(s):,Facebook posts:Number of social media posting(s):,Tweets:Number of social media posting(s):,Instagram posts:Number of social media posting(s):,HQ Video:Number of social media posting(s):,Digital shorts:Number of social media posting(s):,"Digital communications (Flickr, Website updates and YouTube Uploads):Number of social media posting(s):",Name of video (if applicable):
132,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,2/8/17,Public interaction report,,31,,,,,,,,,18,,,,,,,,,,
133,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,1/31/17,,,,,,1,January Web Update (Pueblo)
134,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,1/31/17,,,,,,1,January Web Update (Blue Grass)
135,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,1/31/17,,,,,,1,January Constant Contact (Pueblo)
136,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,1/31/17,,,,,,1,January Constant Contact (Blue Grass)
138,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,2/15/17,Public interaction report,,32,,,,,,,,,18,,,,,,,,,,
139,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,2/15/17,,,,,1,,New ACWA Website Promo _研 PCAPP Version
140,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,2/20/17,,,,,1,,Presidents Day Animation
141,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,2/22/17,Public interaction report,,32,,,,,,,,,18,,,,,,,,,,
142,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,2/17/17,,,,,,1,Website Article: Blue Grass Paramedics Earn Army Recognition
143,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,2/22/17,,,,,,1,Website Article: Blue Grass Teams Work Together to Reduce Project Costs
144,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,2/24/17,,,,,,1,Website Article: Blue Grass Technicians Test Plant Fire-Alarm Systems
145,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,2/17/17,,,,,,1,Website Article: Solution Devised for Over-Pressurized Rounds
146,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,2/22/17,,,,,,1,Destruction Graphic
147,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,2/15/17,,,,,,1,Destruction Graphic
148,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,2/9/17,,,,,,1,Destruction Graphic
149,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,10/26/0016,,,,,,1,October 26 Colorado Chemical Demilitarization Citizens' Advisory Commission Meeting
150,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,12/14/0016,,,,,,1,December 14 Colorado Chemical Demilitarization Citizens' Advisory Commission Meeting
151,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,12/14/0016,,,,,,1,December 14 Kentucky Chemical Demilitarization Citizens' Advisory Commission Meeting
152,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,01/25/0017,,,,,,1,Copy of January 25 Colorado Chemical Demilitarization Citizens' Advisory Commission Meeting
153,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,02/22/0017,,,,,,1,February 22 Colorado Chemical Demilitarization Citizens' Advisory Commission Meeting
154,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,2/1/17-2/28/17,,,,,,5,YouTube Uploads
155,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,2/28/17,,,,,2,,PCAPP Monthly Slideshow & BGCAPP Monthly Slideshow
156,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,2/28/17,,,,,,1,Baseline Optimization Graphic
159,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,2/28/17,,,,,,1,ACWA Photo Collage
160,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,02/01/2017-02/28/2017,72,112,41,,,,
161,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,3/1/17,Public interaction report,,32,,,,,,,,,18,,,,,,,,,,
162,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,2/28/17,,,,,,1,Website Article: Heel Test Anticipates Plant Washout System Failures
163,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,2/28/17,,,,,,1,February Constant Contact (Pueblo)
164,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,2/28/17,,,,,,1,February Constant Contact (Blue Grass)
165,Individual contact,Team Member 2,2/13/17,"Name, Title",Digital communication,Local community member,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,3/8/17,Public interaction report,,32,,,,,,,,,18,,,,,,,,,,
167,Individual contact,PEO/Management,3/3/17,"Name, Title",Telephone,Congress and congressional staffer,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,03/01/0017,,,,,,1,March Youtube Banner
170,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,03/01/0017,1,,,,,,Facebook Banner Graphic
173,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,03/09/0017,,,,,,1,"APG ""Then and Now"" Banner"
174,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,3/15/17,Public interaction report,,32,,,,,,,,,18,,,,,,,,,,
175,Individual contact,PEO/Management,3/17/17,"Name, Title",Telephone,Congress and congressional staffer,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Individual contact,PEO/Management,3/17/17,"Name, Title",Telephone,Congress and congressional staffer,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,3/22/17,Public interaction report,,32,,,,,,,,,18,,,,,,,,,,
178,Individual contact,PEO/Management,3/17/17,"Name, Title",Telephone,Congress and congressional staffer,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Individual contact,PEO/Management,3/17/17,"Name, Title",Telephone,Congress and congressional staffer,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Event or information distribution,,,,,,,Team Member 6,Map Illustration Handout for Charter Event,3/18/17,Other (please specify):,Print Graphic,,,,,,,,,,,,TBD,,,,,,,,
181,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,3/20/17,,,,,1,,100 Ton Graphic GIF
182,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,3/20/17,,,,1,,,Public Involvement Helps Shape U.S. Chemical Weapons Destruction Program
183,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,03/29/17-03/30/17,,,,,2,,BGCAPP and PCAPP Monthly Slideshows
184,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,3/29/17,Public interaction report,,32,,,,,,,,,18,,,,,,,,,,
185,Individual contact,PEO/Management,3/29/17,"Name, Title",In-person,Media,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,3/23/17,,,,,1,,ACWA Snapshot: Trained Workforce Overcomes Obstacles at Colorado Plant
187,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,3/23/17,,,,,1,,ACWA Snapshot: Blue Grass Maintenance at Work
188,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,3/23/17,,,,,1,,ACWA Snapshot: Public Involvement Helps Shape U.S. Chemical Weapons Destruction Program
